,,Perception,Set,Guided Response,Mechanism,Complex Overt Response,Adaptation,Origination
Bloom Psychomotor UNH,0,choose,begin,copy,assemble,,adapt,arrange
Bloom Psychomotor UNH,1,describe,display,trace,calibrate,,alter,build
Bloom Psychomotor UNH,2,detect,explain,follow,construct,,change,combine
Bloom Psychomotor UNH,3,differentiate,move,react,dismantle,,rearrange,compose
Bloom Psychomotor UNH,4,distinguish,proceed,reproduce,,,reorganize,
Bloom Psychomotor UNH,5,identify,,respond,fasten,,revise,create
Bloom Psychomotor UNH,6,isolate,show,,fix,,vary,design
Bloom Psychomotor UNH,7,relate,state,,grind,,,initiate
Bloom Psychomotor UNH,8,select,volunteer,,heat,,,make
Bloom Psychomotor UNH,9,,,,manipulate,,,originate
Bloom Psychomotor UNH,10,,,,measure,,,
Bloom Psychomotor UNH,11,,,,mend,,,
Bloom Psychomotor UNH,12,,,,mix,,,
Bloom Psychomotor UNH,13,,,,organize,,,
Bloom Psychomotor UNH,14,,,,sketch,,,
Bloom Psychomotor Syracuse,1,,disply,,,,,
Bloom Psychomotor Syracuse,6,,,dissect,,,,
Bloom Psychomotor Syracuse,8,,start,,,,,
Bloom Psychomotor Syracuse,9,separate,,,,,,
Bloom Psychomotor Syracuse,17,,,work,,,,
